Datos	MergeSort (ms)	QuickSort (ms)	InsertionSort (ms)	StoogeSort (ms)
<<<<<<< HEAD
100	 	0.0	 	0.0	 	0.0	 	3.0	 	
200	 	0.0	 	0.0	 	2.0	 	10.0	 	
300	 	0.0	 	1.0	 	2.0	 	26.0	 	
400	 	0.0	 	0.0	 	3.0	 	115.0	 	
500	 	0.0	 	1.0	 	1.0	 	262.0	 	
600	 	0.0	 	0.0	 	1.0	 	247.0	 	
700	 	0.0	 	1.0	 	0.0	 	193.0	 	
800	 	0.0	 	1.0	 	0.0	 	663.0	 	
900	 	0.0	 	0.0	 	0.0	 	705.0	 	
1000	 	0.0	 	0.0	 	1.0	 	656.0	 	
=======
1	 	1.0	 	0.0	 	1.0	 	1.0	 	
2	 	0.0	 	0.0	 	0.0	 	0.0	 	
3	 	0.0	 	0.0	 	0.0	 	0.0	 	
4	 	0.0	 	0.0	 	0.0	 	0.0	 	
5	 	0.0	 	0.0	 	0.0	 	0.0	 	
6	 	0.0	 	0.0	 	0.0	 	0.0	 	
7	 	0.0	 	0.0	 	0.0	 	0.0	 	
8	 	0.0	 	0.0	 	0.0	 	1.0	 	
9	 	0.0	 	0.0	 	0.0	 	0.0	 	
10	 	0.0	 	0.0	 	0.0	 	0.0	 	
11	 	0.0	 	0.0	 	0.0	 	1.0	 	
12	 	0.0	 	0.0	 	0.0	 	0.0	 	
13	 	0.0	 	0.0	 	0.0	 	1.0	 	
14	 	0.0	 	0.0	 	0.0	 	1.0	 	
15	 	0.0	 	0.0	 	0.0	 	0.0	 	
16	 	1.0	 	0.0	 	0.0	 	0.0	 	
17	 	0.0	 	0.0	 	0.0	 	1.0	 	
18	 	0.0	 	0.0	 	0.0	 	0.0	 	
19	 	0.0	 	8.0	 	0.0	 	0.0	 	
25	 	0.0	 	0.0	 	0.0	 	0.0	 	
>>>>>>> 225aa1191cb51b5b46cec9784bf35cb264aed354
